"TID","RU"
"string","string"
"TID_BATTLE_END_QUESTS_COMPLETED","TEST"
"TID_BATTLE_END_QUESTS_PROGRESSED","TEST"
"TID_TICKET_COMPENSATION_TITLE","TEST"
"TID_TICKET_COMPENSATION_INFO","TEST"
"TID_TICKET_COMPENSATION_CLAIM","TEST"
"TID_BRAWL_PASS_OLD_BOXES_TITLE","TEST"
"TID_BRAWL_PASS_QUESTS_LABEL","TEST"
"TID_BRAWL_PASS_QUESTS_INFO_LOCKED","TEST"
"TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED","TEST"
"TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER","TEST"
"TID_BRAWL_PASS_QUESTS_CLAIM_NEXT","TEST"
"TID_BRAWL_PASS_QUESTS_CLAIM_TR_REWARDS","TEST"
"TID_BRAWL_PASS_BUY_PROGRESS_LABEL","TEST"
"TID_QUESTS_TITLE","TEST"
"TID_QUEST_DESC_1","TEST"
"TID_QUEST_DESC_2","TEST"
"TID_QUEST_DESC_3","TEST"
"TID_QUEST_DESC_4","TEST"
"TID_QUEST_DESC_5","TEST"
"TID_QUEST_DESC_6","TEST"
"TID_QUEST_DESC_7_MODE_0","TEST"
"TID_QUEST_DESC_7_MODE_2","TEST"
"TID_QUEST_DESC_7_MODE_3","TEST"
"TID_QUEST_DESC_7_MODE_5","TEST"
"TID_QUEST_DESC_7_MODE_6","TEST"
"TID_QUEST_DESC_7_MODE_9","TEST"
"TID_QUEST_DESC_7_MODE_17","TEST"
"TID_QUEST_DESC_7_MODE_20","TEST"
"TID_QUEST_DESC_7_MODE_34","TEST"
"TID_QUEST_DESC_10","TEST"
"TID_QUEST_DESC_11","TEST"
"TID_QUEST_DESC_1_LEVELED","TEST"
"TID_QUEST_DESC_1_BIG_GAME","TEST"
"TID_QUEST_DESC_1_BIG_GAME_SINGLE","TEST"
"TID_QUEST_HERO_CONDITION","TEST"
"TID_QUEST_HERO_CONDITION_2","TEST"
"TID_QUEST_HERO_CONDITION_3","TEST"
"TID_QUEST_MODE_CONDITION","TEST"
"TID_QUEST_MODE_CONDITION_2","TEST"
"TID_QUEST_PLAYAGAIN_CONDITION","TEST"
"TID_QUEST_NEW","TEST"
"TID_QUEST_PREMIUM","TEST"
"TID_MEGA_QUEST_INFO_COMPLETE_PREVIOUS","TEST"
"TID_MEGA_QUEST_INFO_EXPIRES_IN","TEST"
"TID_MEGA_QUEST_INFO_UNLOCKS_IN","TEST"
"TID_MEGA_QUEST_INFO_UNLOCKS_SOON","TEST"
"TID_MEGA_QUEST_INFO_CURRENT","TEST"
